trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,51635,51.635,1.016,target,A0100,50,1016.5,k,0,pk_10_8, 2,pk,10,8,pk,place
1,53668,53.668,1.346,target,A0100,52,1346.2,t,1,dt_59_6, 2,dt,59,6,td,VOT
1,56018,56.018,1.337,target,A0100,54,1337.2,g,0,gk_55_2, 2,gk,55,10,kg,VOT
1,58368,58.368,1.368,target,A0100,56,1368.2,t,1,tk_20_3, 2,tk,20,3,tk,place
1,60751,60.751,1.674,target,A0100,58,1673.9,k,1,kg_65_3, 2,kg,65,3,kg,VOT
1,63434,63.434,1.318,target,A0100,60,1317.6,p,1,kp_64_9, 2,kp,64,3,pk,place
1,65768,65.768,1.37,target,A0100,62,1370.3,b,0,bp_34_2, 2,bp,34,10,pb,VOT
1,68151,68.151,1.555,target,A0100,64,1554.8,d,0,td_3_6, 2,td,3,6,td,VOT
1,70717,70.717,1.597,target,A0100,66,1596.3,p,1,bp_63_4, 2,bp,63,8,pb,VOT
1,73317,73.317,1.795,target,A0100,68,1794.3,k,1,kg_61_5, 2,kg,61,5,kg,VOT
1,76117,76.117,1.853,target,A0100,70,1853.3,t,1,dt_24_7, 2,dt,24,5,td,VOT
1,78984,78.984,1.465,target,A0100,72,1465.5,p,1,kp_22_8, 2,kp,22,4,pk,place
1,81467,81.467,1.526,target,A0100,74,1526.2,t,1,td_9_3, 2,td,9,3,td,VOT
1,84000,84.0,1.168,target,A0100,76,1167.9,p,1,tp_52_9, 2,tp,52,3,pt,place
1,86184,86.184,1.126,target,A0100,78,1126.6,k,0,kp_10_3, 2,kp,10,9,pk,place
1,88317,88.317,1.188,target,A0100,80,1188.2,k,0,kp_46_7, 2,kp,46,5,pk,place
1,90517,90.517,1.713,target,A0100,82,1713.2,k,0,kp_4_6, 2,kp,4,6,pk,place
1,93233,93.233,1.835,target,A0100,84,1834.6,b,0,bp_54_3, 2,bp,54,9,pb,VOT
1,96083,96.083,1.979,target,A0100,86,1978.6,k,0,kt_15_6, 2,kt,15,6,tk,place
1,99066,99.066,1.247,target,A0100,88,1246.3,t,0,tp_68_1, 2,tp,68,11,pt,place
1,101316,101.316,1.333,target,A0100,90,1333.2,t,0,tp_1_7, 2,tp,1,5,pt,place
1,103666,103.666,2.824,target,A0100,92,2824.3,p,1,bp_53_9, 2,bp,53,3,pb,VOT
1,107499,107.499,1.634,target,A0100,94,1633.9,k,0,kp_47_1, 2,kp,47,11,pk,place
1,110149,110.149,1.212,target,A0100,96,1211.9,t,0,pt_2_7, 2,pt,2,7,pt,place
1,112366,112.366,4.476,target,A0100,98,4476.2,p,1,bp_35_7, 2,bp,35,5,pb,VOT
1,117849,117.849,1.289,target,A0100,100,1288.9,k,0,kp_33_8, 2,kp,33,4,pk,place
1,120149,120.149,1.191,target,A0100,102,1190.9,g,0,gk_51_4, 2,gk,51,8,kg,VOT
1,122349,122.349,1.333,target,A0100,104,1332.9,p,1,kp_6_5, 2,kp,6,7,pk,place
1,124699,124.699,1.445,target,A0100,106,1445.9,d,0,dt_3_1, 2,dt,3,11,td,VOT
1,127149,127.149,1.358,target,A0100,108,1358.9,p,1,pb_53_3, 2,pb,53,3,pb,VOT
1,129515,129.515,1.814,target,A0100,110,1814.3,p,1,pt_8_4, 2,pt,8,4,pt,place
1,132332,132.332,1.415,target,A0100,112,1415.6,p,1,pk_31_3, 2,pk,31,3,pk,place
1,134765,134.765,1.77,target,A0100,114,1770.3,d,0,dt_21_3, 2,dt,21,9,td,VOT
1,137548,137.548,1.344,target,A0100,116,1343.9,t,1,tk_40_4, 2,tk,40,4,tk,place
1,139898,139.898,1.652,target,A0100,118,1652.0,b,0,bp_19_4, 2,bp,19,8,pb,VOT
1,142565,142.565,1.414,target,A0100,120,1414.2,t,1,td_24_1, 2,td,24,1,td,VOT
1,144981,144.981,1.147,target,A0100,122,1146.5,p,1,pk_47_6, 2,pk,47,6,pk,place
1,147131,147.131,1.437,target,A0100,124,1436.6,p,1,pb_38_5, 2,pb,38,5,pb,VOT
1,149581,149.581,1.054,target,A0100,126,1053.6,t,0,pt_44_8, 2,pt,44,8,pt,place
1,151648,151.648,1.169,target,A0100,128,1169.9,p,1,pb_35_1, 2,pb,35,1,pb,VOT
1,153831,153.831,1.005,target,A0100,130,1005.6,p,1,bp_38_11, 2,bp,38,1,pb,VOT
1,155847,155.847,0.955,target,A0100,132,954.9,p,1,pk_22_2, 2,pk,22,2,pk,place
1,157814,157.814,0.858,target,A0100,134,858.3,p,1,pb_7_4, 2,pb,7,4,pb,VOT
1,159681,159.681,1.301,target,A0100,136,1301.6,p,1,kp_31_9, 2,kp,31,3,pk,place
1,161997,161.997,1.071,target,A0100,138,1070.9,g,0,gk_18_4, 2,gk,18,8,kg,VOT
1,164080,164.08,1.056,target,A0100,140,1055.5,g,0,gk_66_2, 2,gk,66,10,kg,VOT
1,166147,166.147,0.893,target,A0100,142,892.8,p,1,bp_7_10, 2,bp,7,2,pb,VOT
1,168047,168.047,1.04,target,A0100,144,1039.8,b,0,pb_37_11, 2,pb,37,11,pb,VOT
1,170097,170.097,1.133,target,A0100,146,1132.9,d,0,td_23_7, 2,td,23,7,td,VOT
1,172247,172.247,1.116,target,A0100,148,1116.0,p,1,pb_16_5, 2,pb,16,5,pb,VOT
1,174380,174.38,0.785,target,A0100,150,784.5,k,0,kp_32_3, 2,kp,32,9,pk,place
1,176180,176.18,0.868,target,A0100,152,868.5,p,1,pk_64_3, 2,pk,64,3,pk,place
1,178063,178.063,1.085,target,A0100,154,1085.2,k,0,kt_67_2, 2,kt,67,10,tk,place
1,180163,180.163,0.89,target,A0100,156,890.2,t,0,pt_39_5, 2,pt,39,5,pt,place
1,182063,182.063,0.926,target,A0100,158,926.2,t,0,tp_42_3, 2,tp,42,9,pt,place
1,183996,183.996,0.879,target,A0100,160,878.9,g,0,kg_27_11, 2,kg,27,11,kg,VOT
1,185880,185.88,0.865,target,A0100,162,865.6,t,0,pt_57_7, 2,pt,57,7,pt,place
1,187763,187.763,1.251,target,A0100,164,1251.1,d,0,td_59_11, 2,td,59,11,td,VOT
1,190029,190.029,1.04,target,A0100,166,1039.6,t,0,pt_17_5, 2,pt,17,5,pt,place
1,192079,192.079,1.011,target,A0100,168,1010.6,k,0,pk_69_6, 2,pk,69,6,pk,place
1,194096,194.096,1.128,target,A0100,170,1127.9,t,0,pt_5_11, 2,pt,5,11,pt,place
1,196229,196.229,1.169,target,A0100,172,1168.6,k,0,pk_32_8, 2,pk,32,8,pk,place
1,198412,198.412,1.062,target,A0100,174,1061.3,k,0,pk_6_10, 2,pk,6,10,pk,place
1,200479,200.479,1.334,target,A0100,176,1334.6,k,0,kp_25_1, 2,kp,25,11,pk,place
1,202829,202.829,0.975,target,A0100,178,975.6,g,0,gk_27_5, 2,gk,27,7,kg,VOT
1,204812,204.812,1.057,target,A0100,180,1057.2,t,1,dt_62_10, 2,dt,62,2,td,VOT
1,206879,206.879,0.947,target,A0100,182,947.5,p,1,tp_43_8, 2,tp,43,4,pt,place
1,208829,208.829,2.578,target,A0100,184,2578.5,k,0,kt_50_5, 2,kt,50,7,tk,place
