trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,124181,124.181,0.777,target,A0167,50,777.3,k,0,kp_6_4, 1,kp,6,8,pk,place
1,125964,125.964,0.881,target,A0167,52,880.9,p,1,kp_25_11, 1,kp,25,1,pk,place
1,127847,127.847,0.732,target,A0167,54,731.6,t,0,pt_5_10, 1,pt,5,10,pt,place
1,129580,129.58,0.785,target,A0167,56,784.2,p,1,pt_52_3, 1,pt,52,3,pt,place
1,131380,131.38,1.22,target,A0167,58,1219.2,p,1,bp_60_10, 1,bp,60,2,pb,VOT
1,133614,133.614,1.052,target,A0167,60,1053.0,g,0,gk_27_4, 1,gk,27,8,kg,VOT
1,135680,135.68,0.773,target,A0167,62,773.3,g,0,kg_18_9, 1,kg,18,9,kg,VOT
1,137463,137.463,0.711,target,A0167,64,710.8,p,1,pb_60_4, 1,pb,60,4,pb,VOT
1,139180,139.18,1.104,target,A0167,66,1104.2,p,1,pb_36_5, 1,pb,36,5,pb,VOT
1,141297,141.297,1.194,target,A0167,68,1194.6,p,1,kp_49_10, 1,kp,49,2,pk,place
1,143497,143.497,1.042,target,A0167,70,1042.6,p,1,pk_47_5, 1,pk,47,5,pk,place
1,145546,145.546,0.814,target,A0167,72,813.5,p,1,pk_22_1, 1,pk,22,1,pk,place
1,147363,147.363,1.144,target,A0167,74,1143.9,p,1,pb_34_6, 1,pb,34,6,pb,VOT
1,149513,149.513,1.327,target,A0167,76,1327.0,d,0,dt_24_6, 1,dt,24,6,td,VOT
1,151846,151.846,1.066,target,A0167,78,1065.6,b,0,pb_35_11, 1,pb,35,11,pb,VOT
1,153929,153.929,1.635,target,A0167,80,1634.3,p,1,tp_52_8, 1,tp,52,4,pt,place
1,156579,156.579,1.309,target,A0167,82,1308.2,p,1,pk_33_1, 1,pk,33,1,pk,place
1,158896,158.896,1.163,target,A0167,84,1163.6,d,0,dt_12_1, 1,dt,12,11,td,VOT
1,161062,161.062,1.156,target,A0167,86,1156.0,p,1,kp_69_11, 1,kp,69,1,pk,place
1,163229,163.229,1.134,target,A0167,88,1134.3,p,1,pb_7_3, 1,pb,7,3,pb,VOT
1,165379,165.379,1.277,target,A0167,90,1277.3,b,0,bp_19_3, 1,bp,19,9,pb,VOT
1,167662,167.662,1.186,target,A0167,92,1185.8,k,0,kp_10_2, 1,kp,10,10,pk,place
1,169862,169.862,1.251,target,A0167,94,1250.9,p,1,pt_17_4, 1,pt,17,4,pt,place
1,172129,172.129,1.008,target,A0167,96,1008.3,k,0,pk_13_11, 1,pk,13,11,pk,place
1,174145,174.145,1.43,target,A0167,98,1429.6,t,1,dt_3_11, 1,dt,3,1,td,VOT
1,176579,176.579,1.05,target,A0167,100,1050.3,t,0,pt_39_4, 1,pt,39,4,pt,place
1,178645,178.645,1.599,target,A0167,102,1598.7,p,1,pt_41_3, 1,pt,41,3,pt,place
1,181245,181.245,1.156,target,A0167,104,1155.5,g,0,gk_18_3, 1,gk,18,9,kg,VOT
1,183412,183.412,1.271,target,A0167,106,1271.8,t,0,tp_39_9, 1,tp,39,3,pt,place
1,185695,185.695,1.513,target,A0167,108,1513.5,p,1,pk_49_4, 1,pk,49,4,pk,place
1,188211,188.211,1.3,target,A0167,110,1299.9,g,0,kg_66_7, 1,kg,66,7,kg,VOT
1,190528,190.528,1.583,target,A0167,112,1583.3,p,1,tp_8_8, 1,tp,8,4,pt,place
