trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,147307,147.307,0.803,target,A0189,50,803.3,t,0,pt_41_8, 6,pt,41,8,pt,place
1,149124,149.124,0.783,target,A0189,52,783.6,p,1,pk_48_4, 6,pk,48,4,pk,place
1,150924,150.924,1.002,target,A0189,54,1002.6,k,0,kp_56_6, 6,kp,56,6,pk,place
1,152940,152.94,0.868,target,A0189,56,868.0,g,0,gk_61_3, 6,gk,61,9,kg,VOT
1,154824,154.824,0.928,target,A0189,58,928.6,p,1,pk_32_1, 6,pk,32,1,pk,place
1,156757,156.757,0.931,target,A0189,60,931.3,p,1,bp_60_4, 6,bp,60,8,pb,VOT
1,158690,158.69,0.871,target,A0189,62,871.0,k,1,kg_55_1, 6,kg,55,1,kg,VOT
1,160573,160.573,0.969,target,A0189,64,968.6,p,1,pb_63_2, 6,pb,63,2,pb,VOT
1,162557,162.557,1.057,target,A0189,66,1057.3,b,0,bp_38_4, 6,bp,38,8,pb,VOT
1,164623,164.623,0.858,target,A0189,68,857.6,k,0,pk_22_6, 6,pk,22,6,pk,place
1,166490,166.49,1.293,target,A0189,70,1293.0,p,1,pt_44_1, 6,pt,44,1,pt,place
1,168790,168.79,0.881,target,A0189,72,881.0,t,1,kt_15_10, 6,kt,15,2,tk,place
1,170673,170.673,0.958,target,A0189,74,957.7,d,0,dt_62_3, 6,dt,62,9,td,VOT
1,172640,172.64,0.946,target,A0189,76,946.0,k,1,gk_11_6, 6,gk,11,6,kg,VOT
1,174590,174.59,1.088,target,A0189,78,1088.9,p,1,bp_35_11, 6,bp,35,1,pb,VOT
1,176690,176.69,0.909,target,A0189,80,909.9,t,0,tp_43_1, 6,tp,43,11,pt,place
1,178606,178.606,1.036,target,A0189,82,1036.3,d,0,dt_3_5, 6,dt,3,7,td,VOT
1,180656,180.656,0.917,target,A0189,84,917.3,k,0,kp_49_4, 6,kp,49,8,pk,place
1,182589,182.589,1.021,target,A0189,86,1021.0,p,1,pk_6_3, 6,pk,6,3,pk,place
1,184622,184.622,1.004,target,A0189,88,1003.7,b,0,bp_29_3, 6,bp,29,9,pb,VOT
1,186639,186.639,1.021,target,A0189,90,1020.9,p,1,pt_5_4, 6,pt,5,4,pt,place
1,188672,188.672,0.992,target,A0189,92,991.7,t,0,pt_42_2, 6,pt,42,2,pt,place
1,190672,190.672,1.014,target,A0189,94,1013.6,t,1,dt_21_7, 6,dt,21,5,td,VOT
1,192689,192.689,1.049,target,A0189,96,1048.9,t,1,td_59_4, 6,td,59,4,td,VOT
1,194755,194.755,1.035,target,A0189,98,1034.3,t,0,tp_41_2, 6,tp,41,10,pt,place
1,196805,196.805,0.979,target,A0189,100,978.3,t,1,tk_15_4, 6,tk,15,4,tk,place
1,198789,198.789,1.004,target,A0189,102,1005.0,t,1,td_9_7, 6,td,9,7,td,VOT
1,200805,200.805,0.909,target,A0189,104,909.3,k,0,tk_14_10, 6,tk,14,10,tk,place
1,202722,202.722,0.998,target,A0189,106,998.6,b,0,bp_36_5, 6,bp,36,7,pb,VOT
1,204722,204.722,0.915,target,A0189,108,915.6,t,1,dt_24_11, 6,dt,24,1,td,VOT
1,206655,206.655,0.996,target,A0189,110,996.3,b,0,bp_16_4, 6,bp,16,8,pb,VOT
1,208655,208.655,1.004,target,A0189,112,1004.3,k,0,kp_33_1, 6,kp,33,11,pk,place
1,210671,210.671,0.923,target,A0189,114,922.6,d,0,td_62_8, 6,td,62,8,td,VOT
1,212605,212.605,0.941,target,A0189,116,941.3,t,0,pt_17_9, 6,pt,17,9,pt,place
1,214555,214.555,0.996,target,A0189,118,996.3,k,1,kg_18_3, 6,kg,18,3,kg,VOT
1,216555,216.555,1.147,target,A0189,120,1147.3,p,1,bp_7_3, 6,bp,7,9,pb,VOT
1,218704,218.704,0.94,target,A0189,122,939.3,k,0,kp_25_5, 6,kp,25,7,pk,place
1,220654,220.654,1.053,target,A0189,124,1052.3,g,0,gk_55_6, 6,gk,55,6,kg,VOT
1,222721,222.721,1.0,target,A0189,126,999.6,k,0,tk_20_7, 6,tk,20,7,tk,place
1,224738,224.738,1.094,target,A0189,128,1095.0,b,0,bp_34_6, 6,bp,34,6,pb,VOT
1,226837,226.837,0.98,target,A0189,130,980.0,p,1,pb_19_2, 6,pb,19,2,pb,VOT
1,228821,228.821,0.977,target,A0189,132,977.7,t,1,td_12_11, 6,td,12,11,td,VOT
1,230804,230.804,0.934,target,A0189,134,934.2,t,0,pt_57_11, 6,pt,57,11,pt,place
1,232754,232.754,1.042,target,A0189,136,1042.3,k,0,tk_67_11, 6,tk,67,11,tk,place
1,234804,234.804,0.934,target,A0189,138,934.3,t,1,td_24_5, 6,td,24,5,td,VOT
1,236754,236.754,1.046,target,A0189,140,1046.3,t,1,tk_50_3, 6,tk,50,3,tk,place
1,238804,238.804,0.946,target,A0189,142,946.3,t,0,pt_43_7, 6,pt,43,7,pt,place
1,240754,240.754,1.112,target,A0189,144,1112.3,k,1,gk_18_8, 6,gk,18,4,kg,VOT
1,242870,242.87,1.045,target,A0189,146,1044.7,t,1,kt_50_9, 6,kt,50,3,tk,place
1,244920,244.92,0.952,target,A0189,148,951.7,k,0,kp_64_2, 6,kp,64,10,pk,place
1,246887,246.887,0.98,target,A0189,150,980.0,p,1,kp_13_11, 6,kp,13,1,pk,place
1,248870,248.87,0.978,target,A0189,152,978.7,t,0,tp_68_5, 6,tp,68,7,pt,place
1,250853,250.853,0.955,target,A0189,154,955.3,p,1,pb_7_8, 6,pb,7,8,pb,VOT
1,252820,252.82,0.939,target,A0189,156,939.6,t,1,kt_30_8, 6,kt,30,4,tk,place
1,254770,254.77,0.91,target,A0189,158,910.6,p,1,pb_35_5, 6,pb,35,5,pb,VOT
1,256686,256.686,0.906,target,A0189,160,906.0,t,1,td_28_3, 6,td,28,3,td,VOT
1,258603,258.603,0.995,target,A0189,162,995.3,p,1,pk_33_6, 6,pk,33,6,pk,place
