trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,107032,107.032,2.78,target,A0175,50,2779.8,p,1,kp_48_7, 3,kp,48,5,pk,place
1,110816,110.816,1.15,target,A0175,52,1150.6,t,1,td_9_4, 3,td,9,4,td,VOT
1,112982,112.982,2.195,target,A0175,54,2195.0,b,0,bp_63_5, 3,bp,63,7,pb,VOT
1,116182,116.182,1.299,target,A0175,56,1298.9,t,1,kt_26_7, 3,kt,26,5,tk,place
1,118499,118.499,2.024,target,A0175,58,2024.2,t,0,tp_2_2, 3,tp,2,10,pt,place
1,121532,121.532,1.01,target,A0175,60,1009.9,k,0,tk_50_11, 3,tk,50,11,tk,place
1,123548,123.548,0.834,target,A0175,62,833.3,k,0,pk_45_8, 3,pk,45,8,pk,place
1,125398,125.398,0.616,target,A0175,64,615.2,k,0,pk_32_9, 3,pk,32,9,pk,place
1,127015,127.015,1.581,target,A0175,66,1581.6,t,0,pt_39_6, 3,pt,39,6,pt,place
1,129598,129.598,0.756,target,A0175,68,756.2,t,0,tp_57_2, 3,tp,57,10,pt,place
1,131365,131.365,2.289,target,A0175,70,2289.6,b,0,bp_60_1, 3,bp,60,11,pb,VOT
1,134665,134.665,0.751,target,A0175,72,751.6,p,1,pk_13_2, 3,pk,13,2,pk,place
1,136431,136.431,0.725,target,A0175,74,725.0,g,0,gk_18_5, 3,gk,18,7,kg,VOT
1,138165,138.165,0.923,target,A0175,76,923.5,p,1,kp_46_8, 3,kp,46,4,pk,place
1,140098,140.098,0.605,target,A0175,78,605.2,t,0,pt_52_5, 3,pt,52,5,pt,place
1,141714,141.714,0.703,target,A0175,80,702.6,t,1,kt_15_7, 3,kt,15,5,tk,place
1,143431,143.431,0.605,target,A0175,82,605.0,p,1,kp_64_10, 3,kp,64,2,pk,place
1,145048,145.048,0.747,target,A0175,84,747.2,b,0,bp_19_5, 3,bp,19,7,pb,VOT
1,146797,146.797,0.693,target,A0175,86,692.4,p,1,bp_7_11, 3,bp,7,1,pb,VOT
1,148497,148.497,0.641,target,A0175,88,640.2,p,1,tp_17_11, 3,tp,17,1,pt,place
1,150147,150.147,0.567,target,A0175,90,566.3,t,0,tp_41_10, 3,tp,41,2,pt,place
1,151731,151.731,5.186,target,A0175,92,5187.0,k,0,tk_30_10, 3,tk,30,10,tk,place
1,157930,157.93,3.479,target,A0175,94,3478.9,p,1,pk_48_1, 3,pk,48,1,pk,place
1,162414,162.414,0.805,target,A0175,96,805.6,p,1,pk_33_3, 3,pk,33,3,pk,place
1,164230,164.23,1.022,target,A0175,98,1021.9,k,0,kp_25_2, 3,kp,25,10,pk,place
1,166263,166.263,1.401,target,A0175,100,1400.7,t,0,pt_57_8, 3,pt,57,8,pt,place
1,168680,168.68,0.874,target,A0175,102,873.9,p,1,pb_35_2, 3,pb,35,2,pb,VOT
