trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,195749,195.749,1.309,target,A0054,50,1308.8,d,0,dt_62_4, 7,dt,62,8,td,VOT
1,198066,198.066,1.824,target,A0054,52,1824.0,p,1,kp_69_6, 7,kp,69,6,pk,place
1,200899,200.899,1.238,target,A0054,54,1238.7,b,0,pb_29_9, 7,pb,29,9,pb,VOT
1,203149,203.149,1.24,target,A0054,56,1240.7,p,1,bp_54_8, 7,bp,54,4,pb,VOT
1,205399,205.399,1.598,target,A0054,58,1598.7,k,1,kg_51_4, 7,kg,51,4,kg,VOT
1,207999,207.999,1.09,target,A0054,60,1090.7,t,1,dt_59_11, 7,dt,59,1,td,VOT
1,210098,210.098,1.1,target,A0054,62,1099.6,p,1,kp_4_11, 7,kp,4,1,pk,place
1,212215,212.215,2.28,target,A0054,64,2280.1,k,0,kt_14_6, 7,kt,14,6,tk,place
1,215498,215.498,1.551,target,A0054,66,1550.7,p,1,pt_57_1, 7,pt,57,1,pt,place
1,218065,218.065,4.12,target,A0054,68,4120.1,t,0,pt_17_10, 7,pt,17,10,pt,place
1,223198,223.198,1.078,target,A0054,70,1077.8,g,0,gk_61_4, 7,gk,61,8,kg,VOT
1,225281,225.281,1.727,target,A0054,72,1727.3,p,1,pt_5_5, 7,pt,5,5,pt,place
1,228014,228.014,1.225,target,A0054,74,1225.1,k,0,pk_22_7, 7,pk,22,7,pk,place
1,230248,230.248,1.178,target,A0054,76,1178.7,b,0,pb_38_10, 7,pb,38,10,pb,VOT
1,232431,232.431,1.28,target,A0054,78,1280.3,t,1,kt_30_9, 7,kt,30,3,tk,place
1,234714,234.714,1.223,target,A0054,80,1223.0,k,1,gk_51_9, 7,gk,51,3,kg,VOT
1,236947,236.947,4.839,target,A0054,82,4838.6,p,1,pt_68_1, 7,pt,68,1,pt,place
1,242797,242.797,0.919,target,A0054,84,918.8,d,0,td_62_9, 7,td,62,9,td,VOT
1,244730,244.73,1.865,target,A0054,86,1864.5,p,1,bp_38_5, 7,bp,38,7,pb,VOT
1,247597,247.597,0.895,target,A0054,88,894.6,t,0,tp_52_3, 7,tp,52,9,pt,place
1,249497,249.497,1.032,target,A0054,90,1031.6,b,0,bp_29_4, 7,bp,29,8,pb,VOT
1,251530,251.53,1.343,target,A0054,92,1343.3,k,0,kp_49_5, 7,kp,49,7,pk,place
1,253880,253.88,3.313,target,A0054,94,3313.2,t,0,pt_44_2, 7,pt,44,2,pt,place
1,258197,258.197,1.755,target,A0054,96,1755.7,p,1,pk_46_6, 7,pk,46,6,pk,place
1,260963,260.963,1.404,target,A0054,98,1403.9,k,0,kp_46_1, 7,kp,46,11,pk,place
1,263380,263.38,1.421,target,A0054,100,1421.3,p,1,bp_63_9, 7,bp,63,3,pb,VOT
1,265813,265.813,1.487,target,A0054,102,1487.0,p,1,pb_34_1, 7,pb,34,1,pb,VOT
1,268313,268.313,6.503,target,A0054,104,6503.1,d,0,dt_58_6, 7,dt,58,6,td,VOT
1,275829,275.829,1.247,target,A0054,106,1246.3,b,0,pb_7_9, 7,pb,7,9,pb,VOT
1,278079,278.079,1.025,target,A0054,108,1025.4,t,1,dt_21_8, 7,dt,21,4,td,VOT
1,280112,280.112,5.49,target,A0054,110,5490.0,t,1,kt_26_11, 7,kt,26,1,tk,place
1,286612,286.612,1.419,target,A0054,112,1419.0,k,0,tk_14_11, 7,tk,14,11,tk,place
1,289045,289.045,1.671,target,A0054,114,1670.6,t,0,tp_2_6, 7,tp,2,6,pt,place
1,291729,291.729,1.554,target,A0054,116,1554.4,k,0,kt_20_3, 7,kt,20,9,tk,place
1,294295,294.295,0.94,target,A0054,118,939.8,t,1,tk_67_1, 7,tk,67,1,tk,place
1,296245,296.245,7.054,target,A0054,120,7054.6,t,1,dt_12_7, 7,dt,12,5,td,VOT
1,304311,304.311,3.737,target,A0054,122,3736.9,p,1,pk_4_5, 7,pk,4,5,pk,place
1,309061,309.061,5.026,target,A0054,124,5026.1,k,0,pk_69_11, 7,pk,69,11,pk,place
