trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,143663,143.663,1.743,target,A0187,50,1742.9,p,1,pk_10_2, 7,pk,10,2,pk,place
1,146413,146.413,2.411,target,A0187,52,2412.0,t,1,td_21_2, 7,td,21,2,td,VOT
1,149829,149.829,1.036,target,A0187,54,1036.3,t,1,dt_28_10, 7,dt,28,2,td,VOT
1,151879,151.879,1.34,target,A0187,56,1340.2,k,0,kt_40_4, 7,kt,40,8,tk,place
1,154229,154.229,2.039,target,A0187,58,2039.2,k,0,pk_25_11, 7,pk,25,11,pk,place
1,157279,157.279,2.03,target,A0187,60,2030.3,p,1,pt_42_3, 7,pt,42,3,pt,place
1,160312,160.312,0.965,target,A0187,62,964.9,p,1,tp_2_6, 7,tp,2,6,pt,place
1,162279,162.279,1.552,target,A0187,64,1552.2,p,1,bp_19_9, 7,bp,19,3,pb,VOT
1,164845,164.845,1.439,target,A0187,66,1438.5,d,0,td_62_9, 7,td,62,9,td,VOT
1,167295,167.295,1.124,target,A0187,68,1123.6,t,1,td_28_4, 7,td,28,4,td,VOT
1,169429,169.429,1.152,target,A0187,70,1152.2,k,0,kp_46_1, 7,kp,46,11,pk,place
1,171595,171.595,1.145,target,A0187,72,1144.6,k,0,kp_22_2, 7,kp,22,10,pk,place
1,173745,173.745,1.622,target,A0187,74,1622.6,p,1,kp_48_11, 7,kp,48,1,pk,place
1,176378,176.378,1.339,target,A0187,76,1339.3,d,0,dt_58_6, 7,dt,58,6,td,VOT
1,178728,178.728,1.211,target,A0187,78,1211.3,k,1,gk_27_10, 7,gk,27,2,kg,VOT
1,180945,180.945,1.59,target,A0187,80,1590.5,p,1,pk_6_4, 7,pk,6,4,pk,place
1,183545,183.545,2.965,target,A0187,82,2965.6,p,1,pb_63_3, 7,pb,63,3,pb,VOT
1,187528,187.528,1.831,target,A0187,84,1831.3,t,0,tp_39_4, 7,tp,39,8,pt,place
1,190361,190.361,1.261,target,A0187,86,1260.9,k,0,kp_69_6, 7,kp,69,6,pk,place
1,192628,192.628,1.174,target,A0187,88,1174.2,k,0,pk_47_11, 7,pk,47,11,pk,place
1,194811,194.811,1.019,target,A0187,90,1018.9,d,0,dt_24_1, 7,dt,24,11,td,VOT
1,196844,196.844,1.869,target,A0187,92,1869.6,d,0,dt_3_6, 7,dt,3,6,td,VOT
1,199727,199.727,1.713,target,A0187,94,1713.2,b,0,pb_36_11, 7,pb,36,11,pb,VOT
1,202444,202.444,1.564,target,A0187,96,1564.6,k,1,kg_27_5, 7,kg,27,5,kg,VOT
1,205010,205.01,2.346,target,A0187,98,2345.9,k,0,pk_31_8, 7,pk,31,8,pk,place
1,208360,208.36,3.742,target,A0187,100,3742.0,t,0,tp_41_3, 7,tp,41,9,pt,place
1,213110,213.11,3.301,target,A0187,102,3300.9,t,1,td_59_5, 7,td,59,5,td,VOT
1,217427,217.427,1.197,target,A0187,104,1197.3,t,1,td_9_8, 7,td,9,8,td,VOT
1,219626,219.626,1.04,target,A0187,106,1039.3,p,1,tp_44_7, 7,tp,44,5,pt,place
1,221676,221.676,4.39,target,A0187,108,4390.3,k,0,tk_20_8, 7,tk,20,8,tk,place
1,227076,227.076,1.467,target,A0187,110,1467.2,k,0,kp_64_3, 7,kp,64,9,pk,place
1,229559,229.559,1.999,target,A0187,112,1998.9,p,1,pk_46_6, 7,pk,46,6,pk,place
1,232576,232.576,1.171,target,A0187,114,1171.3,p,1,tp_5_10, 7,tp,5,2,pt,place
1,234759,234.759,1.853,target,A0187,116,1852.8,k,1,gk_51_9, 7,gk,51,3,kg,VOT
1,237626,237.626,2.185,target,A0187,118,2185.3,k,1,kg_66_2, 7,kg,66,2,kg,VOT
1,240826,240.826,1.302,target,A0187,120,1302.2,k,1,gk_18_9, 7,gk,18,3,kg,VOT
1,243142,243.142,1.241,target,A0187,122,1240.6,k,0,pk_69_11, 7,pk,69,11,pk,place
1,245392,245.392,1.098,target,A0187,124,1097.7,k,1,gk_55_7, 7,gk,55,5,kg,VOT
1,247492,247.492,0.869,target,A0187,126,869.6,t,1,dt_59_11, 7,dt,59,1,td,VOT
1,249375,249.375,1.139,target,A0187,128,1139.3,b,0,bp_7_4, 7,bp,7,8,pb,VOT
1,251525,251.525,4.336,target,A0187,130,4336.2,k,0,pk_13_6, 7,pk,13,6,pk,place
1,256875,256.875,4.36,target,A0187,132,4360.2,d,0,td_24_6, 7,td,24,6,td,VOT
1,262241,262.241,1.326,target,A0187,134,1325.6,b,0,bp_38_5, 7,bp,38,7,pb,VOT
1,264575,264.575,1.331,target,A0187,136,1331.3,t,1,kt_26_11, 7,kt,26,1,tk,place
1,266908,266.908,1.44,target,A0187,138,1439.9,p,1,pb_35_6, 7,pb,35,6,pb,VOT
1,269358,269.358,2.862,target,A0187,140,2861.9,b,0,bp_16_5, 7,bp,16,7,pb,VOT
1,273224,273.224,2.11,target,A0187,142,2110.2,p,1,pk_64_8, 7,pk,64,8,pk,place
1,276341,276.341,1.493,target,A0187,144,1493.6,k,0,kp_45_7, 7,kp,45,5,pk,place
1,278841,278.841,1.837,target,A0187,146,1837.6,b,0,pb_38_10, 7,pb,38,10,pb,VOT
1,281691,281.691,2.257,target,A0187,148,2257.6,p,1,bp_54_8, 7,bp,54,4,pb,VOT
1,284957,284.957,2.617,target,A0187,150,2616.9,p,1,tp_42_8, 7,tp,42,4,pt,place
1,288590,288.59,1.27,target,A0187,152,1269.6,b,0,bp_60_5, 7,bp,60,7,pb,VOT
1,290874,290.874,0.927,target,A0187,154,927.3,t,1,dt_9_3, 7,dt,9,9,td,VOT
1,292807,292.807,1.203,target,A0187,156,1202.9,k,0,tk_15_5, 7,tk,15,5,tk,place
1,295023,295.023,2.075,target,A0187,158,2074.3,t,0,tp_17_4, 7,tp,17,8,pt,place
1,298107,298.107,1.961,target,A0187,160,1961.0,k,1,kg_55_2, 7,kg,55,2,kg,VOT
1,301073,301.073,1.508,target,A0187,162,1508.2,d,0,dt_62_4, 7,dt,62,8,td,VOT
1,303590,303.59,1.006,target,A0187,164,1006.6,k,1,gk_66_7, 7,gk,66,5,kg,VOT
