trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,139081,139.081,1.936,target,A0181,50,1936.1,d,0,td_23_11, 6,td,23,11,td,VOT
1,142031,142.031,2.177,target,A0181,52,2177.1,p,1,kp_46_11, 6,kp,46,1,pk,place
1,145214,145.214,1.667,target,A0181,54,1666.8,k,0,pk_13_5, 6,pk,13,5,pk,place
1,147897,147.897,0.819,target,A0181,56,818.4,p,1,bp_63_8, 6,bp,63,4,pb,VOT
1,149731,149.731,1.563,target,A0181,58,1563.2,p,1,bp_7_3, 6,bp,7,9,pb,VOT
1,152297,152.297,1.212,target,A0181,60,1211.5,t,1,td_28_3, 6,td,28,3,td,VOT
1,154514,154.514,0.665,target,A0181,62,664.8,k,0,kp_33_1, 6,kp,33,11,pk,place
1,156180,156.18,1.787,target,A0181,64,1787.2,t,0,pt_52_8, 6,pt,52,8,pt,place
1,158980,158.98,1.374,target,A0181,66,1374.2,k,0,kp_69_5, 6,kp,69,7,pk,place
1,161364,161.364,2.563,target,A0181,68,2563.8,p,1,pb_53_7, 6,pb,53,7,pb,VOT
1,164930,164.93,0.987,target,A0181,70,987.1,t,1,td_59_4, 6,td,59,4,td,VOT
1,166930,166.93,1.141,target,A0181,72,1141.1,t,0,tp_68_5, 6,tp,68,7,pt,place
1,169080,169.08,1.821,target,A0181,74,1821.1,k,1,gk_51_8, 6,gk,51,4,kg,VOT
1,171913,171.913,1.719,target,A0181,76,1718.7,t,0,tp_52_2, 6,tp,52,10,pt,place
1,174646,174.646,2.349,target,A0181,78,2348.4,b,0,bp_36_5, 6,bp,36,7,pb,VOT
1,177996,177.996,1.654,target,A0181,80,1653.5,k,0,kt_67_6, 6,kt,67,6,tk,place
1,180663,180.663,2.206,target,A0181,82,2205.8,g,0,gk_55_6, 6,gk,55,6,kg,VOT
1,183879,183.879,1.68,target,A0181,84,1680.1,p,1,bp_60_4, 6,bp,60,8,pb,VOT
1,186563,186.563,1.919,target,A0181,86,1919.8,t,1,dt_58_5, 6,dt,58,7,td,VOT
1,189496,189.496,1.617,target,A0181,88,1617.6,t,1,tk_20_7, 6,tk,20,7,tk,place
1,192129,192.129,2.163,target,A0181,90,2163.0,k,0,pk_69_10, 6,pk,69,10,pk,place
1,195296,195.296,1.708,target,A0181,92,1708.4,k,0,kp_45_6, 6,kp,45,6,pk,place
1,198012,198.012,1.69,target,A0181,94,1689.9,d,0,td_58_10, 6,td,58,10,td,VOT
1,200712,200.712,1.25,target,A0181,96,1249.8,p,1,pk_64_7, 6,pk,64,7,pk,place
1,202979,202.979,0.826,target,A0181,98,826.1,t,1,tk_26_4, 6,tk,26,4,tk,place
1,204812,204.812,1.148,target,A0181,100,1147.7,t,0,tp_8_2, 6,tp,8,10,pt,place
1,206962,206.962,0.758,target,A0181,102,757.9,k,0,pk_56_11, 6,pk,56,11,pk,place
1,208728,208.728,1.358,target,A0181,104,1358.2,g,0,kg_65_7, 6,kg,65,7,kg,VOT
1,211095,211.095,0.9,target,A0181,106,900.4,k,1,kg_27_4, 6,kg,27,4,kg,VOT
1,213012,213.012,1.307,target,A0181,108,1307.7,t,0,tp_70_4, 6,tp,70,8,pt,place
1,215328,215.328,3.691,target,A0181,110,3691.2,k,0,kp_32_7, 6,kp,32,5,pk,place
1,220028,220.028,1.091,target,A0181,112,1091.2,k,0,pk_47_10, 6,pk,47,10,pk,place
1,222128,222.128,1.977,target,A0181,114,1977.1,d,0,td_3_10, 6,td,3,10,td,VOT
1,225111,225.111,2.045,target,A0181,116,2044.8,p,1,pk_32_1, 6,pk,32,1,pk,place
1,228161,228.161,1.288,target,A0181,118,1287.9,b,0,pb_16_9, 6,pb,16,9,pb,VOT
1,230461,230.461,0.996,target,A0181,120,995.7,t,0,tp_43_1, 6,tp,43,11,pt,place
1,232461,232.461,1.082,target,A0181,122,1081.8,k,0,kp_49_4, 6,kp,49,8,pk,place
1,234544,234.544,2.257,target,A0181,124,2257.5,p,1,pk_33_6, 6,pk,33,6,pk,place
1,237811,237.811,1.158,target,A0181,126,1158.8,g,0,gk_61_3, 6,gk,61,9,kg,VOT
1,239977,239.977,1.084,target,A0181,128,1084.1,k,0,kp_56_6, 6,kp,56,6,pk,place
1,242077,242.077,1.059,target,A0181,130,1059.2,p,1,bp_37_10, 6,bp,37,2,pb,VOT
1,244144,244.144,1.248,target,A0181,132,1248.4,t,1,dt_9_2, 6,dt,9,10,td,VOT
1,246394,246.394,1.133,target,A0181,134,1133.4,g,0,gk_66_6, 6,gk,66,6,kg,VOT
1,248543,248.543,1.193,target,A0181,136,1192.5,t,0,tp_44_6, 6,tp,44,6,pt,place
1,250743,250.743,1.759,target,A0181,138,1758.5,t,0,tp_42_7, 6,tp,42,5,pt,place
1,253510,253.51,1.313,target,A0181,140,1312.8,d,0,dt_23_6, 6,dt,23,6,td,VOT
1,255827,255.827,1.004,target,A0181,142,1004.2,k,0,tk_14_10, 6,tk,14,10,tk,place
1,257843,257.843,1.013,target,A0181,144,1012.5,t,0,tp_2_5, 6,tp,2,7,pt,place
1,259860,259.86,1.246,target,A0181,146,1246.7,t,0,pt_43_7, 6,pt,43,7,pt,place
1,262110,262.11,1.013,target,A0181,148,1013.8,p,1,pb_54_1, 6,pb,54,1,pb,VOT
1,264126,264.126,0.869,target,A0181,150,869.2,k,1,gk_27_9, 6,gk,27,3,kg,VOT
1,266009,266.009,0.906,target,A0181,152,905.8,b,0,bp_29_3, 6,bp,29,9,pb,VOT
1,267926,267.926,0.731,target,A0181,154,731.2,k,0,kp_31_2, 6,kp,31,10,pk,place
1,269659,269.659,0.551,target,A0181,156,550.8,t,0,tp_17_3, 6,tp,17,9,pt,place
1,271226,271.226,0.837,target,A0181,158,837.2,b,0,bp_16_4, 6,bp,16,8,pb,VOT
1,273076,273.076,0.584,target,A0181,160,584.1,t,1,kt_26_10, 6,kt,26,2,tk,place
1,274676,274.676,0.735,target,A0181,162,735.1,p,1,kp_13_11, 6,kp,13,1,pk,place
1,276426,276.426,0.658,target,A0181,164,658.2,t,0,pt_17_9, 6,pt,17,9,pt,place
1,278092,278.092,0.554,target,A0181,166,553.6,t,0,pt_2_11, 6,pt,2,11,pt,place
1,279659,279.659,1.36,target,A0181,168,1359.8,b,0,pb_36_10, 6,pb,36,10,pb,VOT
1,282026,282.026,0.728,target,A0181,170,728.2,k,0,tk_67_11, 6,tk,67,11,tk,place
1,283759,283.759,1.067,target,A0181,172,1066.8,b,0,pb_29_8, 6,pb,29,8,pb,VOT
1,285842,285.842,1.767,target,A0181,174,1767.4,b,0,bp_34_6, 6,bp,34,6,pb,VOT
1,288625,288.625,0.905,target,A0181,176,905.0,t,0,tp_1_11, 6,tp,1,1,pt,place
1,290542,290.542,1.536,target,A0181,178,1536.5,k,0,pk_4_4, 6,pk,4,4,pk,place
1,293092,293.092,0.822,target,A0181,180,822.4,k,0,pk_31_7, 6,pk,31,7,pk,place
1,294925,294.925,1.269,target,A0181,182,1269.2,p,1,pb_60_9, 6,pb,60,9,pb,VOT
1,297208,297.208,2.079,target,A0181,184,2078.9,t,0,pt_42_2, 6,pt,42,2,pt,place
1,300291,300.291,1.726,target,A0181,186,1725.5,t,1,kt_50_9, 6,kt,50,3,tk,place
1,303025,303.025,1.368,target,A0181,188,1368.2,k,0,pk_45_11, 6,pk,45,11,pk,place
1,305408,305.408,1.037,target,A0181,190,1036.9,p,1,pk_10_1, 6,pk,10,1,pk,place
1,307458,307.458,1.365,target,A0181,192,1364.9,t,0,pt_68_11, 6,pt,68,11,pt,place
1,309825,309.825,0.982,target,A0181,194,982.1,t,1,kt_30_8, 6,kt,30,4,tk,place
1,311808,311.808,0.782,target,A0181,196,782.7,t,1,kt_15_10, 6,kt,15,2,tk,place
1,313608,313.608,0.958,target,A0181,198,958.9,t,0,pt_8_8, 6,pt,8,8,pt,place
1,315574,315.574,1.354,target,A0181,200,1354.2,k,0,kt_20_2, 6,kt,20,10,tk,place
1,317941,317.941,0.835,target,A0181,202,835.6,k,0,kp_64_2, 6,kp,64,10,pk,place
1,319791,319.791,1.034,target,A0181,204,1034.4,p,1,bp_19_8, 6,bp,19,4,pb,VOT
1,321841,321.841,1.279,target,A0181,206,1279.4,k,1,kg_51_3, 6,kg,51,3,kg,VOT
1,324124,324.124,0.804,target,A0181,208,804.1,t,1,td_9_7, 6,td,9,7,td,VOT
1,325941,325.941,0.702,target,A0181,210,702.5,k,0,pk_49_9, 6,pk,49,9,pk,place
1,327657,327.657,1.257,target,A0181,212,1256.8,k,0,kp_25_5, 6,kp,25,7,pk,place
1,329924,329.924,0.619,target,A0181,214,619.0,p,1,pb_35_5, 6,pb,35,5,pb,VOT
1,331557,331.557,0.793,target,A0181,216,792.7,t,0,tp_57_5, 6,tp,57,7,pt,place
1,333357,333.357,0.709,target,A0181,218,708.8,d,0,td_62_8, 6,td,62,8,td,VOT
1,335073,335.073,0.822,target,A0181,220,821.1,g,0,kg_61_9, 6,kg,61,9,kg,VOT
1,336907,336.907,0.676,target,A0181,222,675.8,k,0,kt_40_3, 6,kt,40,9,tk,place
1,338590,338.59,0.59,target,A0181,224,590.5,t,0,pt_44_1, 6,pt,44,1,pt,place
1,340190,340.19,0.582,target,A0181,226,582.5,t,0,tp_39_3, 6,tp,39,9,pt,place
1,341790,341.79,0.822,target,A0181,228,822.4,k,1,kg_11_1, 6,kg,11,1,kg,VOT
1,343623,343.623,0.625,target,A0181,230,625.2,k,1,gk_18_8, 6,gk,18,4,kg,VOT
1,345256,345.256,1.346,target,A0181,232,1345.8,t,1,td_21_1, 6,td,21,1,td,VOT
1,347606,347.606,0.808,target,A0181,234,807.7,t,1,dt_24_11, 6,dt,24,1,td,VOT
1,349423,349.423,1.326,target,A0181,236,1326.1,p,1,pt_5_4, 6,pt,5,4,pt,place
1,351756,351.756,0.735,target,A0181,238,734.7,t,0,pt_41_8, 6,pt,41,8,pt,place
1,353506,353.506,0.544,target,A0181,240,543.8,t,0,tp_5_9, 6,tp,5,3,pt,place
1,355056,355.056,1.305,target,A0181,242,1304.9,t,1,dt_59_10, 6,dt,59,2,td,VOT
1,357373,357.373,1.536,target,A0181,244,1536.1,t,0,tp_41_2, 6,tp,41,10,pt,place
1,359922,359.922,1.357,target,A0181,246,1356.2,p,1,kp_48_10, 6,kp,48,2,pk,place
1,362289,362.289,1.662,target,A0181,248,1661.5,k,1,kg_18_3, 6,kg,18,3,kg,VOT
1,364956,364.956,0.923,target,A0181,250,923.8,k,0,pk_46_5, 6,pk,46,5,pk,place
1,366889,366.889,0.663,target,A0181,252,663.5,k,0,pk_22_6, 6,pk,22,6,pk,place
1,368556,368.556,1.089,target,A0181,254,1089.7,t,1,td_24_5, 6,td,24,5,td,VOT
1,370655,370.655,0.912,target,A0181,256,911.7,p,1,pb_7_8, 6,pb,7,8,pb,VOT
1,372572,372.572,2.478,target,A0181,258,2478.2,p,1,pb_19_2, 6,pb,19,2,pb,VOT
1,376055,376.055,0.881,target,A0181,260,880.9,p,1,kp_6_9, 6,kp,6,3,pk,place
1,377938,377.938,1.965,target,A0181,262,1964.4,t,1,dt_21_7, 6,dt,21,5,td,VOT
1,380905,380.905,1.625,target,A0181,264,1624.7,k,0,kp_10_7, 6,kp,10,5,pk,place
1,383538,383.538,2.143,target,A0181,266,2142.5,d,0,dt_62_3, 6,dt,62,9,td,VOT
1,386688,386.688,1.726,target,A0181,268,1725.4,p,1,kp_4_10, 6,kp,4,2,pk,place
1,389421,389.421,0.906,target,A0181,270,906.2,k,0,kp_47_5, 6,kp,47,7,pk,place
1,391338,391.338,2.36,target,A0181,272,2360.5,t,1,dt_28_9, 6,dt,28,3,td,VOT
1,394704,394.704,1.828,target,A0181,274,1827.8,b,0,bp_53_2, 6,bp,53,10,pb,VOT
1,397538,397.538,1.425,target,A0181,276,1425.5,k,0,pk_25_10, 6,pk,25,10,pk,place
1,399971,399.971,1.321,target,A0181,278,1321.1,g,0,gk_65_1, 6,gk,65,11,kg,VOT
1,402304,402.304,0.765,target,A0181,280,764.8,t,0,pt_39_9, 6,pt,39,9,pt,place
1,404071,404.071,1.148,target,A0181,282,1148.1,t,0,pt_70_10, 6,pt,70,10,pt,place
1,406221,406.221,1.188,target,A0181,284,1188.2,d,0,td_12_11, 6,td,12,11,td,VOT
1,408421,408.421,2.421,target,A0181,286,2421.2,b,0,pb_38_9, 6,pb,38,9,pb,VOT
1,411854,411.854,1.043,target,A0181,288,1042.8,t,1,tk_50_3, 6,tk,50,3,tk,place
1,413904,413.904,1.025,target,A0181,290,1024.9,t,0,pt_1_6, 6,pt,1,6,pt,place
1,415937,415.937,2.81,target,A0181,292,2810.4,k,0,pk_6_3, 6,pk,6,3,pk,place
1,419754,419.754,1.005,target,A0181,294,1005.7,k,0,pk_48_4, 6,pk,48,4,pk,place
1,421770,421.77,0.771,target,A0181,296,771.2,t,1,tk_30_2, 6,tk,30,2,tk,place
1,423553,423.553,1.491,target,A0181,298,1490.9,p,1,bp_54_7, 6,bp,54,5,pb,VOT
1,426053,426.053,1.498,target,A0181,300,1497.8,t,0,pt_57_11, 6,pt,57,11,pt,place
1,428553,428.553,1.075,target,A0181,302,1074.7,p,1,pb_63_2, 6,pb,63,2,pb,VOT
1,430636,430.636,0.761,target,A0181,304,760.4,p,1,pb_37_4, 6,pb,37,4,pb,VOT
1,432403,432.403,0.768,target,A0181,306,767.8,g,0,gk_11_6, 6,gk,11,6,kg,VOT
1,434186,434.186,0.739,target,A0181,308,738.4,t,1,dt_12_6, 6,dt,12,6,td,VOT
1,435936,435.936,0.878,target,A0181,310,877.5,k,1,kg_55_1, 6,kg,55,1,kg,VOT
1,437819,437.819,0.772,target,A0181,312,771.2,p,1,bp_38_4, 6,bp,38,8,pb,VOT
1,439603,439.603,1.56,target,A0181,314,1559.8,k,0,kp_22_1, 6,kp,22,11,pk,place
1,442169,442.169,2.256,target,A0181,316,2256.1,p,1,bp_35_11, 6,bp,35,1,pb,VOT
1,445436,445.436,0.648,target,A0181,318,648.6,k,1,kg_66_1, 6,kg,66,1,kg,VOT
1,447086,447.086,0.834,target,A0181,320,834.5,t,1,tk_15_4, 6,tk,15,4,tk,place
1,448936,448.936,0.497,target,A0181,322,497.4,t,1,tk_40_8, 6,tk,40,8,tk,place
1,450436,450.436,1.341,target,A0181,324,1341.4,t,1,kt_14_5, 6,kt,14,7,tk,place
1,452786,452.786,0.648,target,A0181,326,648.4,t,1,dt_3_5, 6,dt,3,7,td,VOT
1,454435,454.435,0.709,target,A0181,328,708.5,b,0,pb_34_11, 6,pb,34,11,pb,VOT
1,459802,459.802,0.682,target,A0181,331,681.8,p,1,bp_60_5, 7,bp,60,7,pb,VOT
1,461485,461.485,0.83,target,A0181,333,829.4,k,0,pk_33_7, 7,pk,33,7,pk,place
1,463319,463.319,1.186,target,A0181,335,1186.2,t,0,tp_70_5, 7,tp,70,7,pt,place
1,465518,465.518,1.195,target,A0181,337,1195.0,t,1,dt_21_8, 7,dt,21,4,td,VOT
1,467718,467.718,0.953,target,A0181,339,953.2,k,0,kp_69_6, 7,kp,69,6,pk,place
1,469685,469.685,1.644,target,A0181,341,1644.4,t,0,pt_1_7, 7,pt,1,7,pt,place
1,472335,472.335,0.997,target,A0181,343,997.5,b,0,bp_35_1, 7,bp,35,11,pb,VOT
1,474335,474.335,1.628,target,A0181,345,1628.5,t,0,pt_57_1, 7,pt,57,1,pt,place
1,476968,476.968,1.3,target,A0181,347,1300.2,p,1,pt_2_1, 7,pt,2,1,pt,place
1,479285,479.285,0.838,target,A0181,349,838.4,p,1,bp_63_9, 7,bp,63,3,pb,VOT
1,481135,481.135,1.172,target,A0181,351,1172.4,b,0,bp_34_7, 7,bp,34,5,pb,VOT
1,483318,483.318,1.601,target,A0181,353,1601.1,t,1,td_24_6, 7,td,24,6,td,VOT
1,485934,485.934,0.633,target,A0181,355,632.4,t,0,tp_8_3, 7,tp,8,9,pt,place
1,487584,487.584,1.448,target,A0181,357,1447.4,k,0,pk_22_7, 7,pk,22,7,pk,place
1,490034,490.034,1.038,target,A0181,359,1037.5,t,0,tp_2_6, 7,tp,2,6,pt,place
1,492084,492.084,0.899,target,A0181,361,899.5,t,1,tk_26_5, 7,tk,26,5,tk,place
1,494001,494.001,2.659,target,A0181,363,2659.8,k,1,kg_51_4, 7,kg,51,4,kg,VOT
1,497667,497.667,1.267,target,A0181,365,1267.2,p,1,pt_42_3, 7,pt,42,3,pt,place
1,499950,499.95,0.85,target,A0181,367,849.8,k,0,kp_25_6, 7,kp,25,6,pk,place
1,501817,501.817,0.954,target,A0181,369,954.2,p,1,bp_54_8, 7,bp,54,4,pb,VOT
1,503784,503.784,1.315,target,A0181,371,1315.4,k,1,gk_18_9, 7,gk,18,3,kg,VOT
1,506100,506.1,1.734,target,A0181,373,1733.8,p,1,pk_48_5, 7,pk,48,5,pk,place
1,508850,508.85,0.837,target,A0181,375,836.8,k,0,pk_31_8, 7,pk,31,8,pk,place
1,510700,510.7,1.326,target,A0181,377,1325.9,k,0,pk_64_8, 7,pk,64,8,pk,place
1,513033,513.033,1.002,target,A0181,379,1001.6,p,1,kp_64_3, 7,kp,64,9,pk,place
1,515050,515.05,1.032,target,A0181,381,1031.8,p,1,kp_4_11, 7,kp,4,1,pk,place
1,517083,517.083,1.179,target,A0181,383,1178.5,k,1,kg_11_2, 7,kg,11,2,kg,VOT
1,519266,519.266,0.764,target,A0181,385,764.2,k,1,kg_18_4, 7,kg,18,4,kg,VOT
1,521033,521.033,1.403,target,A0181,387,1403.5,k,1,gk_51_9, 7,gk,51,3,kg,VOT
1,523450,523.45,0.986,target,A0181,389,986.9,b,0,pb_16_10, 7,pb,16,10,pb,VOT
1,525449,525.449,2.087,target,A0181,391,2086.7,g,0,kg_65_8, 7,kg,65,8,kg,VOT
1,528549,528.549,1.679,target,A0181,393,1678.8,k,0,kt_40_4, 7,kt,40,8,tk,place
1,531233,531.233,3.043,target,A0181,395,3043.5,b,0,pb_53_8, 7,pb,53,8,pb,VOT
1,535282,535.282,1.664,target,A0181,397,1663.4,k,0,tk_20_8, 7,tk,20,8,tk,place
1,537949,537.949,1.641,target,A0181,399,1640.9,k,1,kg_55_2, 7,kg,55,2,kg,VOT
1,540599,540.599,2.101,target,A0181,401,2100.9,k,0,kp_46_1, 7,kp,46,11,pk,place
1,543715,543.715,1.354,target,A0181,403,1354.0,t,1,td_12_1, 7,td,12,1,td,VOT
1,546082,546.082,1.198,target,A0181,405,1198.4,k,0,kp_22_2, 7,kp,22,10,pk,place
