trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,100282,100.282,0.829,target,A0182,50,829.0,k,1,gk_18_11, 9,gk,18,1,kg,VOT
1,102115,102.115,0.944,target,A0182,52,943.6,t,0,tp_70_7, 9,tp,70,5,pt,place
1,104065,104.065,0.787,target,A0182,54,786.6,p,1,pt_2_3, 9,pt,2,3,pt,place
1,105865,105.865,0.953,target,A0182,56,952.6,t,0,pt_5_7, 9,pt,5,7,pt,place
1,107832,107.832,0.991,target,A0182,58,991.9,k,0,kp_49_7, 9,kp,49,5,pk,place
1,109832,109.832,1.052,target,A0182,60,1053.0,g,0,kg_27_7, 9,kg,27,7,kg,VOT
1,111898,111.898,0.948,target,A0182,62,948.2,k,0,pk_49_1, 9,pk,49,1,pk,place
1,113848,113.848,0.757,target,A0182,64,757.2,p,1,pk_25_2, 9,pk,25,2,pk,place
1,115615,115.615,1.307,target,A0182,66,1307.6,t,0,pt_42_5, 9,pt,42,5,pt,place
1,117931,117.931,0.836,target,A0182,68,835.9,p,1,pb_54_4, 9,pb,54,4,pb,VOT
1,119781,119.781,1.334,target,A0182,70,1333.9,t,1,dt_23_9, 9,dt,23,3,td,VOT
1,122131,122.131,1.011,target,A0182,72,1010.9,b,0,pb_37_7, 9,pb,37,7,pb,VOT
1,124148,124.148,0.732,target,A0182,74,732.3,g,0,kg_65_10, 9,kg,65,10,kg,VOT
1,125898,125.898,1.164,target,A0182,76,1164.2,t,0,tp_2_8, 9,tp,2,4,pt,place
1,128064,128.064,1.004,target,A0182,78,1003.6,t,1,td_12_3, 9,td,12,3,td,VOT
1,130081,130.081,1.143,target,A0182,80,1142.9,p,1,pb_35_8, 9,pb,35,8,pb,VOT
1,132231,132.231,1.038,target,A0182,82,1037.8,p,1,bp_36_8, 9,bp,36,4,pb,VOT
1,134281,134.281,0.881,target,A0182,84,881.8,p,1,bp_54_10, 9,bp,54,2,pb,VOT
1,136164,136.164,1.225,target,A0182,86,1225.6,k,0,tk_26_7, 9,tk,26,7,tk,place
1,138397,138.397,1.126,target,A0182,88,1126.3,k,0,tk_40_11, 9,tk,40,11,tk,place
1,140530,140.53,1.091,target,A0182,90,1090.9,p,1,bp_60_7, 9,bp,60,5,pb,VOT
1,142630,142.63,1.28,target,A0182,92,1279.9,k,0,pk_6_6, 9,pk,6,6,pk,place
1,144914,144.914,1.276,target,A0182,94,1276.5,t,0,pt_8_11, 9,pt,8,11,pt,place
1,147197,147.197,1.413,target,A0182,96,1413.3,t,0,tp_8_5, 9,tp,8,7,pt,place
1,149613,149.613,1.281,target,A0182,98,1280.7,b,0,bp_53_5, 9,bp,53,7,pb,VOT
1,151897,151.897,1.26,target,A0182,100,1260.3,b,0,bp_29_6, 9,bp,29,6,pb,VOT
1,154163,154.163,1.244,target,A0182,102,1243.6,t,1,kt_30_11, 9,kt,30,1,tk,place
1,156413,156.413,1.122,target,A0182,104,1121.6,k,0,kp_46_3, 9,kp,46,9,pk,place
1,158546,158.546,1.09,target,A0182,106,1089.3,b,0,bp_37_2, 9,bp,37,10,pb,VOT
1,160646,160.646,1.157,target,A0182,108,1157.4,k,1,gk_55_9, 9,gk,55,3,kg,VOT
1,162813,162.813,1.152,target,A0182,110,1152.5,t,1,dt_58_8, 9,dt,58,4,td,VOT
1,164979,164.979,1.29,target,A0182,112,1289.9,k,0,pk_32_4, 9,pk,32,4,pk,place
1,167279,167.279,1.304,target,A0182,114,1303.9,d,0,dt_59_2, 9,dt,59,10,td,VOT
1,169596,169.596,1.471,target,A0182,116,1471.4,d,0,dt_3_8, 9,dt,3,4,td,VOT
1,172079,172.079,1.364,target,A0182,118,1363.8,k,1,gk_51_11, 9,gk,51,1,kg,VOT
1,174446,174.446,1.2,target,A0182,120,1200.2,t,1,dt_9_5, 9,dt,9,7,td,VOT
1,176662,176.662,1.142,target,A0182,122,1141.6,p,1,kp_25_8, 9,kp,25,4,pk,place
1,178812,178.812,0.725,target,A0182,124,724.7,k,1,gk_66_9, 9,gk,66,3,kg,VOT
1,180545,180.545,1.202,target,A0182,126,1201.3,k,0,pk_33_9, 9,pk,33,9,pk,place
1,182762,182.762,1.069,target,A0182,128,1068.5,p,1,pk_45_3, 9,pk,45,3,pk,place
1,184845,184.845,1.055,target,A0182,130,1055.2,k,0,kp_6_1, 9,kp,6,11,pk,place
1,186912,186.912,1.131,target,A0182,132,1131.6,t,0,tp_52_5, 9,tp,52,7,pt,place
1,189045,189.045,1.198,target,A0182,134,1198.3,k,0,pk_64_10, 9,pk,64,10,pk,place
1,191245,191.245,1.063,target,A0182,136,1063.2,t,0,pt_43_10, 9,pt,43,10,pt,place
1,193312,193.312,1.147,target,A0182,138,1147.5,b,0,pb_7_11, 9,pb,7,11,pb,VOT
1,195461,195.461,1.067,target,A0182,140,1066.6,t,1,tk_67_3, 9,tk,67,3,tk,place
1,197545,197.545,0.688,target,A0182,142,688.3,k,0,pk_13_8, 9,pk,13,8,pk,place
1,199245,199.245,1.36,target,A0182,144,1360.2,k,0,pk_4_7, 9,pk,4,7,pk,place
1,201611,201.611,1.062,target,A0182,146,1061.5,t,1,kt_67_9, 9,kt,67,3,tk,place
1,203678,203.678,1.128,target,A0182,148,1127.9,k,1,kg_66_4, 9,kg,66,4,kg,VOT
1,205811,205.811,1.153,target,A0182,150,1152.7,k,0,kp_69_8, 9,kp,69,4,pk,place
1,207978,207.978,1.278,target,A0182,152,1278.0,t,0,tp_41_5, 9,tp,41,7,pt,place
1,210261,210.261,1.099,target,A0182,154,1099.5,p,1,kp_32_10, 9,kp,32,2,pk,place
1,212377,212.377,1.063,target,A0182,156,1062.9,p,1,tp_42_10, 9,tp,42,2,pt,place
1,214444,214.444,1.168,target,A0182,158,1168.3,g,0,kg_51_6, 9,kg,51,6,kg,VOT
1,216627,216.627,1.278,target,A0182,160,1277.9,t,1,kt_14_8, 9,kt,14,4,tk,place
1,218911,218.911,1.047,target,A0182,162,1047.7,t,1,dt_12_9, 9,dt,12,3,td,VOT
1,220961,220.961,0.955,target,A0182,164,955.6,p,1,pk_56_3, 9,pk,56,3,pk,place
1,222927,222.927,1.08,target,A0182,166,1079.9,k,0,kp_48_2, 9,kp,48,10,pk,place
1,225010,225.01,1.098,target,A0182,168,1097.7,d,0,dt_24_3, 9,dt,24,9,td,VOT
1,227110,227.11,1.196,target,A0182,170,1195.6,g,0,kg_18_6, 9,kg,18,6,kg,VOT
1,229310,229.31,1.029,target,A0182,172,1028.5,p,1,tp_57_8, 9,tp,57,4,pt,place
1,231343,231.343,1.195,target,A0182,174,1194.3,p,1,kp_45_9, 9,kp,45,3,pk,place
1,233543,233.543,1.29,target,A0182,176,1289.3,p,1,pb_34_3, 9,pb,34,3,pb,VOT
1,235843,235.843,1.302,target,A0182,178,1302.2,t,0,tp_17_6, 9,tp,17,6,pt,place
1,238160,238.16,1.402,target,A0182,180,1402.6,k,1,kg_61_1, 9,kg,61,1,kg,VOT
1,240576,240.576,1.063,target,A0182,182,1062.9,p,1,pb_60_1, 9,pb,60,1,pb,VOT
1,242643,242.643,1.234,target,A0182,184,1234.2,p,1,bp_34_9, 9,bp,34,3,pb,VOT
1,244893,244.893,1.311,target,A0182,186,1311.2,t,0,pt_41_11, 9,pt,41,11,pt,place
1,247210,247.21,1.019,target,A0182,188,1019.7,p,1,pb_36_2, 9,pb,36,2,pb,VOT
1,249243,249.243,1.137,target,A0182,190,1137.3,k,0,pk_48_7, 9,pk,48,7,pk,place
1,251393,251.393,1.296,target,A0182,192,1296.3,p,1,tp_68_8, 9,tp,68,4,pt,place
1,253693,253.693,1.074,target,A0182,194,1074.3,k,1,gk_61_6, 9,gk,61,6,kg,VOT
1,255776,255.776,0.813,target,A0182,196,813.0,k,1,kg_11_4, 9,kg,11,4,kg,VOT
1,257592,257.592,1.001,target,A0182,198,1000.3,t,1,td_3_2, 9,td,3,2,td,VOT
1,259609,259.609,1.396,target,A0182,200,1395.6,d,0,dt_62_6, 9,dt,62,6,td,VOT
1,262009,262.009,1.223,target,A0182,202,1222.6,p,1,pk_69_2, 9,pk,69,2,pk,place
1,264242,264.242,1.189,target,A0182,204,1189.2,p,1,pt_57_3, 9,pt,57,3,pt,place
1,266442,266.442,1.155,target,A0182,206,1155.3,k,0,tk_15_7, 9,tk,15,7,tk,place
1,268609,268.609,0.998,target,A0182,208,998.7,t,0,tp_5_1, 9,tp,5,11,pt,place
1,270609,270.609,1.108,target,A0182,210,1108.6,p,1,pk_47_2, 9,pk,47,2,pk,place
1,272725,272.725,1.147,target,A0182,212,1147.0,k,0,pk_10_4, 9,pk,10,4,pk,place
1,274875,274.875,1.081,target,A0182,214,1080.9,p,1,kp_56_9, 9,kp,56,3,pk,place
1,276958,276.958,1.167,target,A0182,216,1166.6,k,0,pk_31_10, 9,pk,31,10,pk,place
1,279142,279.142,1.193,target,A0182,218,1193.2,d,0,td_59_7, 9,td,59,7,td,VOT
1,281342,281.342,1.072,target,A0182,220,1072.2,k,0,kt_50_1, 9,kt,50,11,tk,place
1,283425,283.425,0.997,target,A0182,222,997.0,k,0,kt_15_2, 9,kt,15,10,tk,place
1,285425,285.425,1.286,target,A0182,224,1285.9,t,0,tp_43_4, 9,tp,43,8,pt,place
1,287725,287.725,1.034,target,A0182,226,1034.0,p,1,kp_47_8, 9,kp,47,4,pk,place
1,289774,289.774,1.179,target,A0182,228,1179.0,b,0,bp_35_3, 9,bp,35,9,pb,VOT
1,291958,291.958,1.104,target,A0182,230,1104.6,t,0,pt_1_9, 9,pt,1,9,pt,place
1,294074,294.074,1.261,target,A0182,232,1261.0,b,0,pb_53_10, 9,pb,53,10,pb,VOT
1,296341,296.341,1.589,target,A0182,234,1589.3,k,0,kp_13_3, 9,kp,13,9,pk,place
1,298941,298.941,1.407,target,A0182,236,1407.3,t,0,tp_1_3, 9,tp,1,9,pt,place
1,301357,301.357,1.033,target,A0182,238,1032.5,k,0,pk_46_8, 9,pk,46,8,pk,place
1,303407,303.407,1.548,target,A0182,240,1547.6,k,0,pk_22_9, 9,pk,22,9,pk,place
1,305957,305.957,1.302,target,A0182,242,1301.7,t,1,td_21_4, 9,td,21,4,td,VOT
1,308274,308.274,1.087,target,A0182,244,1086.8,k,0,kp_4_2, 9,kp,4,10,pk,place
1,310374,310.374,1.147,target,A0182,246,1147.0,p,1,bp_63_11, 9,bp,63,1,pb,VOT
1,312524,312.524,1.332,target,A0182,248,1332.0,t,1,td_23_3, 9,td,23,3,td,VOT
1,314857,314.857,1.106,target,A0182,250,1106.7,d,0,dt_28_1, 9,dt,28,11,td,VOT
1,316974,316.974,1.203,target,A0182,252,1203.9,d,0,td_9_10, 9,td,9,10,td,VOT
1,319190,319.19,1.038,target,A0182,254,1038.2,t,1,td_58_2, 9,td,58,2,td,VOT
1,321240,321.24,1.232,target,A0182,256,1232.2,p,1,pb_16_1, 9,pb,16,1,pb,VOT
1,323490,323.49,1.226,target,A0182,258,1226.2,k,0,kt_20_5, 9,kt,20,7,tk,place
1,325723,325.723,0.856,target,A0182,260,855.9,k,0,kp_22_4, 9,kp,22,8,pk,place
1,327590,327.59,1.286,target,A0182,262,1286.3,p,1,pb_38_1, 9,pb,38,1,pb,VOT
1,329890,329.89,1.233,target,A0182,264,1233.2,t,0,pt_39_1, 9,pt,39,1,pt,place
1,332140,332.14,1.005,target,A0182,266,1005.3,t,1,tk_30_5, 9,tk,30,5,tk,place
1,334156,334.156,1.303,target,A0182,268,1302.7,p,1,bp_7_6, 9,bp,7,6,pb,VOT
1,336473,336.473,1.195,target,A0182,270,1194.9,b,0,pb_29_11, 9,pb,29,11,pb,VOT
1,338673,338.673,1.127,target,A0182,272,1126.8,p,1,pb_63_5, 9,pb,63,5,pb,VOT
1,340806,340.806,1.121,target,A0182,274,1121.5,g,0,gk_27_1, 9,gk,27,11,kg,VOT
1,342939,342.939,1.223,target,A0182,276,1223.3,k,0,tk_20_10, 9,tk,20,10,tk,place
1,345172,345.172,1.233,target,A0182,278,1233.0,p,1,tp_44_9, 9,tp,44,3,pt,place
