trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,156592,156.592,1.453,target,A0188,50,1452.3,k,0,pk_32_11, 5,pk,32,11,pk,place
1,159059,159.059,1.16,target,A0188,52,1159.6,t,0,pt_44_11, 5,pt,44,11,pt,place
1,161226,161.226,2.823,target,A0188,54,2824.0,p,1,pb_35_4, 5,pb,35,4,pb,VOT
1,165059,165.059,1.918,target,A0188,56,1918.6,b,0,pb_36_9, 5,pb,36,9,pb,VOT
1,167992,167.992,1.139,target,A0188,58,1139.2,t,0,pt_39_8, 5,pt,39,8,pt,place
1,170142,170.142,0.879,target,A0188,60,879.3,k,0,kp_47_4, 5,kp,47,8,pk,place
1,172025,172.025,1.599,target,A0188,62,1598.9,b,0,pb_16_8, 5,pb,16,8,pb,VOT
1,174642,174.642,1.533,target,A0188,64,1533.2,p,1,pb_7_7, 5,pb,7,7,pb,VOT
1,177192,177.192,1.134,target,A0188,66,1134.3,t,1,td_59_3, 5,td,59,3,td,VOT
1,179342,179.342,2.144,target,A0188,68,2144.3,d,0,dt_21_6, 5,dt,21,6,td,VOT
1,182491,182.491,2.014,target,A0188,70,2013.1,k,1,kg_27_3, 5,kg,27,3,kg,VOT
1,185508,185.508,1.518,target,A0188,72,1518.6,p,1,pk_4_3, 5,pk,4,3,pk,place
1,188041,188.041,1.245,target,A0188,74,1245.3,k,0,pk_45_10, 5,pk,45,10,pk,place
1,190291,190.291,1.629,target,A0188,76,1629.3,b,0,bp_36_4, 5,bp,36,8,pb,VOT
1,192924,192.924,1.482,target,A0188,78,1482.0,k,0,pk_33_5, 5,pk,33,5,pk,place
1,195407,195.407,2.25,target,A0188,80,2249.7,p,1,kp_33_11, 5,kp,33,1,pk,place
1,198674,198.674,2.458,target,A0188,82,2457.9,b,0,pb_53_6, 5,pb,53,6,pb,VOT
1,202141,202.141,1.437,target,A0188,84,1437.2,g,0,kg_66_11, 5,kg,66,11,kg,VOT
1,204590,204.59,1.604,target,A0188,86,1603.3,d,0,dt_23_5, 5,dt,23,7,td,VOT
1,207207,207.207,2.469,target,A0188,88,2468.5,k,0,kt_20_1, 5,kt,20,11,tk,place
1,210690,210.69,1.675,target,A0188,90,1675.2,k,1,kg_65_6, 5,kg,65,6,kg,VOT
1,213374,213.374,1.167,target,A0188,92,1168.0,g,0,gk_61_2, 5,gk,61,10,kg,VOT
1,215557,215.557,1.332,target,A0188,94,1332.5,k,0,kp_6_8, 5,kp,6,4,pk,place
1,217907,217.907,3.391,target,A0188,96,3391.6,p,1,kp_46_10, 5,kp,46,2,pk,place
1,222307,222.307,1.866,target,A0188,98,1866.6,b,0,bp_60_3, 5,bp,60,9,pb,VOT
1,225190,225.19,2.352,target,A0188,100,2352.2,p,1,kp_22_11, 5,kp,22,1,pk,place
1,228556,228.556,1.26,target,A0188,102,1259.5,k,1,gk_65_11, 5,gk,65,1,kg,VOT
1,230823,230.823,1.732,target,A0188,104,1731.8,t,1,tk_20_6, 5,tk,20,6,tk,place
1,233556,233.556,3.419,target,A0188,106,3419.5,k,0,pk_13_4, 5,pk,13,4,pk,place
1,237989,237.989,0.996,target,A0188,108,996.3,t,1,dt_59_9, 5,dt,59,3,td,VOT
1,239989,239.989,0.894,target,A0188,110,894.2,k,0,pk_56_10, 5,pk,56,10,pk,place
1,241889,241.889,1.765,target,A0188,112,1765.3,d,0,dt_3_4, 5,dt,3,8,td,VOT
1,244656,244.656,1.449,target,A0188,114,1449.5,b,0,pb_29_7, 5,pb,29,7,pb,VOT
1,247122,247.122,1.497,target,A0188,116,1496.8,d,0,dt_9_1, 5,dt,9,11,td,VOT
1,249622,249.622,1.89,target,A0188,118,1890.0,k,0,pk_49_8, 5,pk,49,8,pk,place
1,252522,252.522,1.355,target,A0188,120,1355.0,b,0,pb_34_10, 5,pb,34,10,pb,VOT
1,254889,254.889,1.112,target,A0188,122,1112.2,k,0,kp_10_6, 5,kp,10,6,pk,place
1,257005,257.005,1.052,target,A0188,124,1051.7,t,0,pt_17_8, 5,pt,17,8,pt,place
1,259072,259.072,2.653,target,A0188,126,2653.8,t,1,td_28_2, 5,td,28,2,td,VOT
1,262738,262.738,0.939,target,A0188,128,939.3,k,0,tk_67_10, 5,tk,67,10,tk,place
1,264688,264.688,2.518,target,A0188,130,2518.3,p,1,kp_48_9, 5,kp,48,3,pk,place
1,268221,268.221,1.029,target,A0188,132,1028.9,t,0,tp_42_6, 5,tp,42,6,pt,place
1,270255,270.255,1.309,target,A0188,134,1309.6,t,1,dt_12_5, 5,dt,12,7,td,VOT
1,272571,272.571,0.964,target,A0188,136,964.0,d,0,dt_62_2, 5,dt,62,10,td,VOT
1,274538,274.538,2.07,target,A0188,138,2070.2,p,1,pk_64_6, 5,pk,64,6,pk,place
1,277621,277.621,1.219,target,A0188,140,1218.9,b,0,bp_16_3, 5,bp,16,9,pb,VOT
1,279854,279.854,1.497,target,A0188,142,1496.6,k,0,kp_69_4, 5,kp,69,8,pk,place
1,282354,282.354,1.281,target,A0188,144,1280.5,t,0,tp_8_1, 5,tp,8,11,pt,place
1,284637,284.637,1.109,target,A0188,146,1108.2,k,0,pk_22_5, 5,pk,22,5,pk,place
1,286754,286.754,1.119,target,A0188,148,1119.7,k,0,kt_30_7, 5,kt,30,5,tk,place
1,288887,288.887,2.753,target,A0188,150,2753.3,b,0,bp_53_1, 5,bp,53,11,pb,VOT
1,292654,292.654,1.181,target,A0188,152,1181.6,t,0,tp_1_10, 5,tp,1,2,pt,place
1,294837,294.837,1.151,target,A0188,154,1151.2,d,0,dt_58_4, 5,dt,58,8,td,VOT
1,297004,297.004,3.195,target,A0188,156,3195.6,b,0,bp_35_10, 5,bp,35,2,pb,VOT
1,301203,301.203,0.866,target,A0188,158,865.6,p,1,kp_4_9, 5,kp,4,3,pk,place
1,303087,303.087,1.782,target,A0188,160,1782.2,d,0,dt_28_8, 5,dt,28,4,td,VOT
1,305886,305.886,1.091,target,A0188,162,1090.2,t,0,tp_39_2, 5,tp,39,10,pt,place
1,307986,307.986,1.227,target,A0188,164,1226.2,g,0,kg_61_8, 5,kg,61,8,kg,VOT
1,310220,310.22,1.086,target,A0188,166,1086.9,t,0,pt_1_5, 5,pt,1,5,pt,place
1,312320,312.32,1.003,target,A0188,168,1003.9,b,0,pb_38_8, 5,pb,38,8,pb,VOT
1,314336,314.336,1.131,target,A0188,170,1131.3,p,1,pk_46_4, 5,pk,46,4,pk,place
1,316469,316.469,1.585,target,A0188,172,1585.0,b,0,bp_38_3, 5,bp,38,9,pb,VOT
1,319069,319.069,2.349,target,A0188,174,2348.9,p,1,bp_37_9, 5,bp,37,3,pb,VOT
1,322436,322.436,0.958,target,A0188,176,958.2,p,1,bp_19_7, 5,bp,19,5,pb,VOT
