trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,92268,92.268,1.07,target,A0191,50,1070.7,p,1,tp_43_4, 9,tp,43,8,pt,place
1,94351,94.351,0.633,target,A0191,52,633.3,p,1,kp_64_5, 9,kp,64,7,pk,place
1,96001,96.001,0.623,target,A0191,54,623.3,p,1,tp_39_6, 9,tp,39,6,pt,place
1,97634,97.634,0.723,target,A0191,56,723.0,d,0,dt_3_8, 9,dt,3,4,td,VOT
1,99367,99.367,0.558,target,A0191,58,557.6,p,1,bp_38_7, 9,bp,38,5,pb,VOT
1,100934,100.934,0.518,target,A0191,60,518.0,p,1,kp_49_7, 9,kp,49,5,pk,place
1,102467,102.467,0.633,target,A0191,62,632.6,k,0,kt_15_2, 9,kt,15,10,tk,place
1,104117,104.117,0.639,target,A0191,64,638.6,p,1,tp_2_8, 9,tp,2,4,pt,place
1,105767,105.767,0.565,target,A0191,66,564.6,p,1,bp_53_5, 9,bp,53,7,pb,VOT
1,107334,107.334,0.541,target,A0191,68,542.0,t,1,kt_30_11, 9,kt,30,1,tk,place
1,108884,108.884,0.585,target,A0191,70,586.0,g,0,gk_27_1, 9,gk,27,11,kg,VOT
1,110483,110.483,0.576,target,A0191,72,576.0,p,1,pk_25_2, 9,pk,25,2,pk,place
1,112067,112.067,0.608,target,A0191,74,608.7,t,1,kt_14_8, 9,kt,14,4,tk,place
1,113683,113.683,0.586,target,A0191,76,586.0,p,1,pk_45_3, 9,pk,45,3,pk,place
1,115283,115.283,0.55,target,A0191,78,549.9,p,1,pt_17_1, 9,pt,17,1,pt,place
1,116850,116.85,0.522,target,A0191,80,522.3,b,0,pb_19_5, 9,pb,19,5,pb,VOT
1,118383,118.383,0.825,target,A0191,82,825.0,t,1,dt_23_9, 9,dt,23,3,td,VOT
1,120216,120.216,0.609,target,A0191,84,608.6,k,0,pk_46_8, 9,pk,46,8,pk,place
1,121833,121.833,0.624,target,A0191,86,623.9,t,1,td_21_4, 9,td,21,4,td,VOT
1,123466,123.466,0.669,target,A0191,88,668.7,k,0,kp_13_3, 9,kp,13,9,pk,place
1,125150,125.15,0.81,target,A0191,90,810.4,k,0,kt_26_2, 9,kt,26,10,tk,place
1,126966,126.966,0.778,target,A0191,92,777.6,k,1,kg_11_4, 9,kg,11,4,kg,VOT
1,128749,128.749,0.882,target,A0191,94,881.3,p,1,tp_70_7, 9,tp,70,5,pt,place
1,130633,130.633,0.8,target,A0191,96,800.0,t,1,tk_14_2, 9,tk,14,2,tk,place
1,132449,132.449,0.714,target,A0191,98,714.3,p,1,tp_57_8, 9,tp,57,4,pt,place
1,134166,134.166,2.642,target,A0191,100,2642.6,p,1,pt_5_7, 9,pt,5,7,pt,place
1,137816,137.816,0.739,target,A0191,102,739.7,p,1,pk_4_7, 9,pk,4,7,pk,place
1,139566,139.566,0.69,target,A0191,104,690.7,k,0,tk_40_11, 9,tk,40,11,tk,place
1,141266,141.266,0.996,target,A0191,106,996.7,k,1,kg_55_4, 9,kg,55,4,kg,VOT
1,143265,143.265,1.2,target,A0191,108,1199.7,t,1,td_28_6, 9,td,28,6,td,VOT
1,145482,145.482,0.772,target,A0191,110,772.0,p,1,pk_47_2, 9,pk,47,2,pk,place
1,147265,147.265,0.693,target,A0191,112,692.7,t,1,tk_26_7, 9,tk,26,7,tk,place
1,148965,148.965,1.189,target,A0191,114,1188.7,p,1,pb_37_7, 9,pb,37,7,pb,VOT
1,151165,151.165,0.744,target,A0191,116,743.7,p,1,kp_32_10, 9,kp,32,2,pk,place
1,152915,152.915,0.832,target,A0191,118,831.6,p,1,pt_39_1, 9,pt,39,1,pt,place
1,154748,154.748,0.75,target,A0191,120,749.4,t,0,tp_41_5, 9,tp,41,7,pt,place
1,156515,156.515,0.634,target,A0191,122,633.7,k,0,pk_22_9, 9,pk,22,9,pk,place
1,158165,158.165,0.637,target,A0191,124,637.6,d,0,dt_28_1, 9,dt,28,11,td,VOT
1,159815,159.815,0.739,target,A0191,126,739.6,k,0,kp_22_4, 9,kp,22,8,pk,place
1,161565,161.565,0.75,target,A0191,128,750.6,t,0,pt_43_10, 9,pt,43,10,pt,place
1,163331,163.331,2.358,target,A0191,130,2358.0,b,0,pb_7_11, 9,pb,7,11,pb,VOT
1,166698,166.698,0.868,target,A0191,132,868.3,p,1,bp_16_7, 9,bp,16,5,pb,VOT
1,168581,168.581,0.772,target,A0191,134,772.0,b,0,bp_37_2, 9,bp,37,10,pb,VOT
1,170364,170.364,0.655,target,A0191,136,654.4,k,1,gk_55_9, 9,gk,55,3,kg,VOT
1,172031,172.031,0.821,target,A0191,138,821.0,k,1,kg_61_1, 9,kg,61,1,kg,VOT
1,173864,173.864,0.601,target,A0191,140,600.7,p,1,pt_70_2, 9,pt,70,2,pt,place
1,175481,175.481,0.728,target,A0191,142,728.0,k,1,gk_18_11, 9,gk,18,1,kg,VOT
1,177214,177.214,0.888,target,A0191,144,887.6,k,1,gk_11_9, 9,gk,11,3,kg,VOT
1,179114,179.114,1.022,target,A0191,146,1021.7,g,0,kg_65_10, 9,kg,65,10,kg,VOT
1,181147,181.147,0.681,target,A0191,148,680.4,p,1,pt_68_3, 9,pt,68,3,pt,place
1,182831,182.831,0.962,target,A0191,150,962.9,p,1,pb_60_1, 9,pb,60,1,pb,VOT
1,184797,184.797,0.62,target,A0191,152,620.3,p,1,pk_69_2, 9,pk,69,2,pk,place
1,186431,186.431,0.653,target,A0191,154,653.9,k,0,kt_50_1, 9,kt,50,11,tk,place
1,188097,188.097,0.53,target,A0191,156,530.3,t,0,tp_44_9, 9,tp,44,3,pt,place
1,189630,189.63,1.028,target,A0191,158,1027.9,p,1,pb_38_1, 9,pb,38,1,pb,VOT
1,191664,191.664,0.947,target,A0191,160,947.6,t,1,tk_30_5, 9,tk,30,5,tk,place
1,193614,193.614,0.709,target,A0191,162,709.6,k,0,pk_32_4, 9,pk,32,4,pk,place
1,195330,195.33,1.265,target,A0191,164,1265.0,t,1,td_12_3, 9,td,12,3,td,VOT
1,197597,197.597,0.733,target,A0191,166,733.3,k,0,tk_15_7, 9,tk,15,7,tk,place
1,199347,199.347,0.8,target,A0191,168,800.3,d,0,td_24_8, 9,td,24,8,td,VOT
1,201163,201.163,0.694,target,A0191,170,693.7,d,0,dt_59_2, 9,dt,59,10,td,VOT
1,202863,202.863,0.645,target,A0191,172,644.7,k,1,gk_66_9, 9,gk,66,3,kg,VOT
1,204513,204.513,2.714,target,A0191,174,2713.7,p,1,pb_35_8, 9,pb,35,8,pb,VOT
1,208230,208.23,2.361,target,A0191,176,2362.0,k,0,kp_56_9, 9,kp,56,3,pk,place
1,211596,211.596,0.894,target,A0191,178,894.4,k,0,pk_6_6, 9,pk,6,6,pk,place
1,213496,213.496,0.811,target,A0191,180,811.3,p,1,pb_54_4, 9,pb,54,4,pb,VOT
1,215313,215.313,0.728,target,A0191,182,728.7,k,0,kp_31_5, 9,kp,31,7,pk,place
1,217046,217.046,1.029,target,A0191,184,1029.4,p,1,bp_19_11, 9,bp,19,1,pb,VOT
1,219079,219.079,1.238,target,A0191,186,1238.0,p,1,kp_69_8, 9,kp,69,4,pk,place
1,221329,221.329,1.328,target,A0191,188,1328.0,p,1,pk_10_4, 9,pk,10,4,pk,place
1,223662,223.662,0.857,target,A0191,190,856.6,t,0,pt_52_11, 9,pt,52,11,pt,place
1,225529,225.529,1.382,target,A0191,192,1382.0,b,0,pb_53_10, 9,pb,53,10,pb,VOT
1,227912,227.912,1.149,target,A0191,194,1148.6,g,0,kg_27_7, 9,kg,27,7,kg,VOT
1,230062,230.062,0.728,target,A0191,196,727.6,k,0,pk_33_9, 9,pk,33,9,pk,place
1,231795,231.795,0.586,target,A0191,198,585.3,t,1,td_3_2, 9,td,3,2,td,VOT
1,233395,233.395,0.562,target,A0191,200,562.3,p,1,kp_45_9, 9,kp,45,3,pk,place
1,234962,234.962,1.001,target,A0191,202,1001.7,g,0,gk_65_4, 9,gk,65,8,kg,VOT
1,236978,236.978,0.802,target,A0191,204,802.0,p,1,tp_42_10, 9,tp,42,2,pt,place
1,238795,238.795,0.765,target,A0191,206,765.3,k,0,kp_48_2, 9,kp,48,10,pk,place
1,240562,240.562,0.873,target,A0191,208,873.6,k,0,tk_20_10, 9,tk,20,10,tk,place
1,242445,242.445,0.685,target,A0191,210,685.4,p,1,pb_36_2, 9,pb,36,2,pb,VOT
1,244145,244.145,0.662,target,A0191,212,662.4,p,1,bp_54_10, 9,bp,54,2,pb,VOT
1,245811,245.811,0.614,target,A0191,214,613.6,t,1,tk_67_3, 9,tk,67,3,tk,place
1,247428,247.428,0.623,target,A0191,216,623.0,k,0,pk_48_7, 9,pk,48,7,pk,place
1,249061,249.061,0.667,target,A0191,218,666.7,t,1,dt_12_9, 9,dt,12,3,td,VOT
1,250745,250.745,0.596,target,A0191,220,596.3,k,0,kp_4_2, 9,kp,4,10,pk,place
1,252345,252.345,1.627,target,A0191,222,1627.3,p,1,bp_60_7, 9,bp,60,5,pb,VOT
1,254978,254.978,0.712,target,A0191,224,712.0,t,1,kt_67_9, 9,kt,67,3,tk,place
1,256694,256.694,1.504,target,A0191,226,1503.3,b,0,bp_29_6, 9,bp,29,6,pb,VOT
1,259211,259.211,0.683,target,A0191,228,683.6,k,1,kg_66_4, 9,kg,66,4,kg,VOT
1,260911,260.911,0.741,target,A0191,230,741.6,k,0,tk_50_6, 9,tk,50,6,tk,place
1,262661,262.661,1.138,target,A0191,232,1138.7,k,1,gk_61_6, 9,gk,61,6,kg,VOT
1,264811,264.811,1.466,target,A0191,234,1466.7,k,1,kg_51_6, 9,kg,51,6,kg,VOT
1,267294,267.294,1.057,target,A0191,236,1057.3,p,1,tp_17_6, 9,tp,17,6,pt,place
1,269361,269.361,0.717,target,A0191,238,717.7,p,1,pb_63_5, 9,pb,63,5,pb,VOT
1,271094,271.094,0.729,target,A0191,240,729.2,t,0,pt_41_11, 9,pt,41,11,pt,place
1,272827,272.827,0.856,target,A0191,242,855.9,p,1,pt_42_5, 9,pt,42,5,pt,place
1,274694,274.694,0.616,target,A0191,244,616.3,k,0,pk_31_10, 9,pk,31,10,pk,place
1,276327,276.327,1.099,target,A0191,246,1098.9,p,1,pb_29_11, 9,pb,29,11,pb,VOT
1,278443,278.443,0.749,target,A0191,248,748.3,p,1,bp_63_11, 9,bp,63,1,pb,VOT
1,280193,280.193,0.933,target,A0191,250,932.3,t,1,td_23_3, 9,td,23,3,td,VOT
1,282143,282.143,1.054,target,A0191,252,1053.3,k,1,kg_18_6, 9,kg,18,6,kg,VOT
1,284210,284.21,1.56,target,A0191,254,1559.6,p,1,tp_8_5, 9,tp,8,7,pt,place
1,286777,286.777,0.842,target,A0191,256,843.0,t,0,pt_57_3, 9,pt,57,3,pt,place
